chapter_title,chapter_file,section_title,knowledge_point,question_type
函数、极限、连续,ch01,第一节 函数,函数的概念及表示法；,
函数、极限、连续,ch01,第一节 函数,函数的有界性、单调性、周期性和奇偶性；,
函数、极限、连续,ch01,第一节 函数,复合函数、反函数、分段函数和隐函数；,
函数、极限、连续,ch01,第一节 函数,基本初等函数的性质及其图形；,
函数、极限、连续,ch01,第一节 函数,初等函数；,
函数、极限、连续,ch01,第一节 函数,函数关系的建立,
函数、极限、连续,ch01,第一节 函数,,复合函数解析式求解；
函数、极限、连续,ch01,第一节 函数,,函数奇偶性、周期性、有界性判定；
函数、极限、连续,ch01,第一节 函数,,分段函数定义域与值域求解；
函数、极限、连续,ch01,第一节 函数,,函数性质的综合应用；
函数、极限、连续,ch01,第一节 函数,,应用问题的函数关系建立；
函数、极限、连续,ch01,第一节 函数,,抽象函数的性质分析；
函数、极限、连续,ch01,第一节 函数,,函数图像的识别与绘制（结合初等函数性质）
函数、极限、连续,ch01,第二节 极限,数列极限与函数极限的定义及其性质；,
函数、极限、连续,ch01,第二节 极限,函数的左极限和右极限；,
函数、极限、连续,ch01,第二节 极限,无穷小量和无穷大量的概念及其关系；,
函数、极限、连续,ch01,第二节 极限,无穷小量的性质及无穷小量的比较；,
函数、极限、连续,ch01,第二节 极限,极限的四则运算；,
函数、极限、连续,ch01,第二节 极限,极限存在的两个准则（单调有界准则和夹逼准则）；,
函数、极限、连续,ch01,第二节 极限,两个重要极限：`limₓ→₀ sinx/x=1`、`limₓ→∞(1+1/x)ˣ=e`,
函数、极限、连续,ch01,第二节 极限,,极限的概念性问题（存在性判断、左右极限求解）；
函数、极限、连续,ch01,第二节 极限,,利用四则运算、重要极限求极限；
函数、极限、连续,ch01,第二节 极限,,利用夹逼准则、单调有界准则求极限；
函数、极限、连续,ch01,第二节 极限,,无穷小量阶的比较；
函数、极限、连续,ch01,第二节 极限,,极限式中参数的确定；
函数、极限、连续,ch01,第二节 极限,,无穷大量与无界变量的区分；
函数、极限、连续,ch01,第二节 极限,,含变限积分的极限计算；
函数、极限、连续,ch01,第二节 极限,,利用泰勒公式求极限；
函数、极限、连续,ch01,第二节 极限,,数列极限的转化（转化为函数极限求解）；
函数、极限、连续,ch01,第二节 极限,,含抽象函数的极限问题
函数、极限、连续,ch01,第三节 连续,函数连续的概念（含左连续与右连续）；,
函数、极限、连续,ch01,第三节 连续,函数间断点的类型；,
函数、极限、连续,ch01,第三节 连续,初等函数的连续性；,
函数、极限、连续,ch01,第三节 连续,闭区间上连续函数的性质（有界性、最大值和最小值定理、介值定理）,
函数、极限、连续,ch01,第三节 连续,,函数连续性的判定；
函数、极限、连续,ch01,第三节 连续,,函数间断点的识别与类型判断；
函数、极限、连续,ch01,第三节 连续,,闭区间上连续函数性质的应用；
函数、极限、连续,ch01,第三节 连续,,利用连续性求极限；
函数、极限、连续,ch01,第三节 连续,,分段函数连续性的讨论（含参数）；
函数、极限、连续,ch01,第三节 连续,,利用介值定理证明方程根的存在性
一元函数微分学,ch02,第一节 导数与微分的概念及运算,导数和微分的概念；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,导数的几何意义和物理意义；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,函数的可导性与连续性之间的关系；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,平面曲线的切线和法线；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,导数和微分的四则运算；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,基本初等函数的导数；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,复合函数、反函数、隐函数以及参数方程所确定的函数的微分法；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,高阶导数；,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,一阶微分形式的不变性,
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,导数的定义计算；
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,平面曲线的切线方程与法线方程求解；
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,复合函数、隐函数、参数方程求导（含高阶导数）；
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,微分的计算；
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,分段函数导数的求解；
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,抽象函数的一阶及二阶导数计算；
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,参数方程确定函数的高阶导数计算；
一元函数微分学,ch02,第一节 导数与微分的概念及运算,,隐函数存在性与可导性判断
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,罗尔（Rolle）定理；,
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,拉格朗日（Lagrange）中值定理；,
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,泰勒（Taylor）定理；,
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,柯西（Cauchy）中值定理；,
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,洛必达（L’Hospital）法则,
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,利用罗尔定理证明等式；
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,利用拉格朗日中值定理证明不等式或等式；
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,泰勒公式的应用；
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,洛必达法则求未定式极限；
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,柯西中值定理的应用；
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,含中值的等式证明（多中值问题）；
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,泰勒公式在极限与不等式证明中的综合应用；
一元函数微分学,ch02,第二节 微分中值定理与洛必达法则,,利用中值定理证明函数单调性或有界性
一元函数微分学,ch02,第三节 导数的应用,函数单调性的判别；,
一元函数微分学,ch02,第三节 导数的应用,函数的极值；,
一元函数微分学,ch02,第三节 导数的应用,函数图形的凹凸性、拐点及渐近线；,
一元函数微分学,ch02,第三节 导数的应用,函数图形的描绘；,
一元函数微分学,ch02,第三节 导数的应用,函数的最大值与最小值；,
一元函数微分学,ch02,第三节 导数的应用,弧微分及曲率的概念；,
一元函数微分学,ch02,第三节 导数的应用,曲率圆与曲率半径,
一元函数微分学,ch02,第三节 导数的应用,,函数单调性的判断与应用；
一元函数微分学,ch02,第三节 导数的应用,,函数极值的求解与判定；
一元函数微分学,ch02,第三节 导数的应用,,函数图形的凹凸性、拐点判断；
一元函数微分学,ch02,第三节 导数的应用,,函数渐近线的求解；
一元函数微分学,ch02,第三节 导数的应用,,函数最大值与最小值的求解及应用；
一元函数微分学,ch02,第三节 导数的应用,,曲率与曲率半径的计算；
一元函数微分学,ch02,第三节 导数的应用,,函数图形的描绘；
一元函数微分学,ch02,第三节 导数的应用,,利用单调性证明不等式；
一元函数微分学,ch02,第三节 导数的应用,,极值点个数的判断；
一元函数微分学,ch02,第三节 导数的应用,,含参数函数的极值与最值讨论；
一元函数微分学,ch02,第三节 导数的应用,,拐点的性质应用及相关证明
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,原函数和不定积分的概念；,
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,不定积分的基本性质；,
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,基本积分公式；,
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,定积分的概念和基本性质；,
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,定积分中值定理,
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,原函数存在性判断；
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,不定积分的基本计算；
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,定积分的概念应用；
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,定积分性质的应用；
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,定积分中值定理的应用；
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,利用定积分性质比较积分大小；
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,原函数的构造与判断；
一元函数积分学,ch03,第一节 不定积分与定积分的概念及性质,,含抽象函数的定积分性质应用
一元函数积分学,ch03,第二节 积分的计算方法,积分上限的函数及其导数；,
一元函数积分学,ch03,第二节 积分的计算方法,牛顿-莱布尼茨（Newton-Leibniz）公式；,
一元函数积分学,ch03,第二节 积分的计算方法,不定积分和定积分的换元积分法与分部积分法；,
一元函数积分学,ch03,第二节 积分的计算方法,有理函数、三角函数的有理式和简单无理函数的积分,
一元函数积分学,ch03,第二节 积分的计算方法,,积分上限函数的导数计算；
一元函数积分学,ch03,第二节 积分的计算方法,,牛顿-莱布尼茨公式的应用；
一元函数积分学,ch03,第二节 积分的计算方法,,换元积分法与分部积分法计算积分；
一元函数积分学,ch03,第二节 积分的计算方法,,有理函数积分；
一元函数积分学,ch03,第二节 积分的计算方法,,三角函数有理式积分；
一元函数积分学,ch03,第二节 积分的计算方法,,简单无理函数积分；
一元函数积分学,ch03,第二节 积分的计算方法,,含变限积分的方程求解；
一元函数积分学,ch03,第二节 积分的计算方法,,分部积分法的综合应用（多次分部、递推公式）；
一元函数积分学,ch03,第二节 积分的计算方法,,利用对称性简化定积分计算；
一元函数积分学,ch03,第二节 积分的计算方法,,含绝对值、分段函数的定积分计算
一元函数积分学,ch03,第三节 反常积分与定积分的应用,反常（广义）积分；,
一元函数积分学,ch03,第三节 反常积分与定积分的应用,反常积分收敛的比较判别法；,
一元函数积分学,ch03,第三节 反常积分与定积分的应用,定积分的应用（平面图形的面积、平面曲线的弧长、旋转体的体积及侧面积、平行截面面积为已知的立体体积、功、引力、压力、质心、形心等）；,
一元函数积分学,ch03,第三节 反常积分与定积分的应用,函数的平均值,
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,反常积分的计算与收敛性判断；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,平面图形面积的计算；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,平面曲线弧长的计算；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,旋转体体积与侧面积的计算；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,平行截面面积为已知的立体体积计算；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,定积分在物理中的应用；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,函数平均值的计算；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,反常积分敛散性的比较判别法应用；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,旋转体体积的综合计算（含挖去部分、组合旋转体）；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,定积分在几何中的综合应用（面积与体积结合）；
一元函数积分学,ch03,第三节 反常积分与定积分的应用,,物理应用中的变力做功、压力计算的综合问题
向量代数和空间解析几何,ch04,第一节 向量代数,向量的概念；,
向量代数和空间解析几何,ch04,第一节 向量代数,向量的线性运算；,
向量代数和空间解析几何,ch04,第一节 向量代数,向量的数量积和向量积；,
向量代数和空间解析几何,ch04,第一节 向量代数,向量的混合积；,
向量代数和空间解析几何,ch04,第一节 向量代数,两向量垂直及平行的条件；,
向量代数和空间解析几何,ch04,第一节 向量代数,两向量的夹角；,
向量代数和空间解析几何,ch04,第一节 向量代数,向量的坐标表达式及其运算；,
向量代数和空间解析几何,ch04,第一节 向量代数,单位向量；,
向量代数和空间解析几何,ch04,第一节 向量代数,方向数与方向余弦,
向量代数和空间解析几何,ch04,第一节 向量代数,,向量的线性运算、数量积、向量积、混合积计算；
向量代数和空间解析几何,ch04,第一节 向量代数,,两向量平行、垂直条件的应用；
向量代数和空间解析几何,ch04,第一节 向量代数,,向量夹角的计算；
向量代数和空间解析几何,ch04,第一节 向量代数,,单位向量、方向数与方向余弦的求解；
向量代数和空间解析几何,ch04,第一节 向量代数,,利用混合积判断三向量共面；
向量代数和空间解析几何,ch04,第一节 向量代数,,向量积的几何意义应用（求平行四边形面积）；
向量代数和空间解析几何,ch04,第一节 向量代数,,空间点到直线的距离计算（利用向量积）
向量代数和空间解析几何,ch04,第二节 空间解析几何,曲面方程和空间曲线方程的概念；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,平面方程；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,直线方程；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,平面与平面及平面与直线及直线与直线的夹角以及平行和垂直的条件；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,点到平面和点到直线的距离；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,球面、柱面、旋转曲面；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,常用的二次曲面方程及其图形；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,空间曲线的参数方程和一般方程；,
向量代数和空间解析几何,ch04,第二节 空间解析几何,空间曲线在坐标面上的投影曲线方程,
向量代数和空间解析几何,ch04,第二节 空间解析几何,,平面方程的求解；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,直线方程的求解；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,平面与平面、直线与直线、平面与直线的平行、垂直判定及夹角计算；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,点到平面、点到直线距离的计算；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,球面、柱面、旋转曲面方程的求解；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,二次曲面图形的识别；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,空间曲线在坐标面上的投影曲线方程求解；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,平面与直线的交点计算；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,旋转曲面的生成与方程推导；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,空间曲线的参数方程转化与应用；
向量代数和空间解析几何,ch04,第二节 空间解析几何,,二次曲面的切平面方程求解
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,多元函数的概念；,
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,二元函数的几何意义；,
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,二元函数的极限与连续的概念；,
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,有界闭区域上多元连续函数的性质,
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,,二元函数的定义域求解；
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,,二元函数极限的存在性判断与计算；
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,,多元函数连续性的判断；
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,,有界闭区域上多元连续函数性质的应用；
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,,二元函数极限不存在的证明；
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,,含参数多元函数的连续性讨论；
多元函数微分学,ch05,第一节 多元函数的概念与极限连续,,利用多元连续函数性质证明方程根的存在性
多元函数微分学,ch05,第二节 偏导数与全微分,多元函数的偏导数；,
多元函数微分学,ch05,第二节 偏导数与全微分,全微分；,
多元函数微分学,ch05,第二节 偏导数与全微分,全微分存在的必要条件和充分条件；,
多元函数微分学,ch05,第二节 偏导数与全微分,多元复合函数、隐函数的求导法则；,
多元函数微分学,ch05,第二节 偏导数与全微分,二阶偏导数；,
多元函数微分学,ch05,第二节 偏导数与全微分,方向导数与梯度；,
多元函数微分学,ch05,第二节 偏导数与全微分,空间曲线的切线和法平面；,
多元函数微分学,ch05,第二节 偏导数与全微分,曲面的切平面和法线；,
多元函数微分学,ch05,第二节 偏导数与全微分,二元函数的二阶泰勒公式,
多元函数微分学,ch05,第二节 偏导数与全微分,,偏导数（一阶、二阶）的计算；
多元函数微分学,ch05,第二节 偏导数与全微分,,全微分的计算与全微分存在性判断；
多元函数微分学,ch05,第二节 偏导数与全微分,,多元复合函数求导（含抽象函数）；
多元函数微分学,ch05,第二节 偏导数与全微分,,隐函数求导（方程和方程组确定的隐函数）；
多元函数微分学,ch05,第二节 偏导数与全微分,,方向导数与梯度的计算；
多元函数微分学,ch05,第二节 偏导数与全微分,,空间曲线的切线和法平面方程求解；
多元函数微分学,ch05,第二节 偏导数与全微分,,曲面的切平面和法线方程求解；
多元函数微分学,ch05,第二节 偏导数与全微分,,抽象复合函数的高阶偏导数计算；
多元函数微分学,ch05,第二节 偏导数与全微分,,隐函数组的偏导数计算；
多元函数微分学,ch05,第二节 偏导数与全微分,,梯度的几何意义应用（求函数增长最快方向）；
多元函数微分学,ch05,第二节 偏导数与全微分,,全微分在近似计算中的应用；
多元函数微分学,ch05,第二节 偏导数与全微分,,含参数的多元函数偏导数讨论；
多元函数微分学,ch05,第二节 偏导数与全微分,,二元函数二阶泰勒公式的应用
多元函数微分学,ch05,第三节 多元函数的极值与最值,多元函数的极值；,
多元函数微分学,ch05,第三节 多元函数的极值与最值,多元函数的最大值与最小值；,
多元函数微分学,ch05,第三节 多元函数的极值与最值,条件极值与拉格朗日乘数法,
多元函数微分学,ch05,第三节 多元函数的极值与最值,,多元函数极值的判定与求解；
多元函数微分学,ch05,第三节 多元函数的极值与最值,,多元函数在有界闭区域上的最大值与最小值求解；
多元函数微分学,ch05,第三节 多元函数的极值与最值,,条件极值的求解（拉格朗日乘数法）；
多元函数微分学,ch05,第三节 多元函数的极值与最值,,多元函数极值的应用；
多元函数微分学,ch05,第三节 多元函数的极值与最值,,含参数多元函数的极值讨论；
多元函数微分学,ch05,第三节 多元函数的极值与最值,,利用极值证明不等式；
多元函数微分学,ch05,第三节 多元函数的极值与最值,,多约束条件下的条件极值求解；
多元函数微分学,ch05,第三节 多元函数的极值与最值,,极值点的充分条件与必要条件综合应用
多元函数积分学,ch06,第一节 二重积分,二重积分的概念与性质；,
多元函数积分学,ch06,第一节 二重积分,二重积分的计算（直角坐标、极坐标）；,
多元函数积分学,ch06,第一节 二重积分,二重积分的应用（平面图形的面积、体积、质量、质心、形心等）；,
多元函数积分学,ch06,第一节 二重积分,利用二重积分计算旋转体体积（绕坐标轴、绕任意直线）,
多元函数积分学,ch06,第一节 二重积分,,二重积分的性质应用；
多元函数积分学,ch06,第一节 二重积分,,直角坐标下二重积分的计算；
多元函数积分学,ch06,第一节 二重积分,,极坐标下二重积分的计算；
多元函数积分学,ch06,第一节 二重积分,,二重积分的对称性应用；
多元函数积分学,ch06,第一节 二重积分,,二重积分的应用；
多元函数积分学,ch06,第一节 二重积分,,二重积分的交换积分次序；
多元函数积分学,ch06,第一节 二重积分,,含绝对值、分段函数的二重积分计算；
多元函数积分学,ch06,第一节 二重积分,,利用二重积分证明不等式；
多元函数积分学,ch06,第一节 二重积分,,二重积分的近似计算思想应用；
多元函数积分学,ch06,第一节 二重积分,,有界区域面积的二重积分计算（含不规则区域）；
多元函数积分学,ch06,第一节 二重积分,,利用二重积分计算旋转体体积的综合问题
多元函数积分学,ch06,第二节 三重积分,三重积分的概念与性质；,
多元函数积分学,ch06,第二节 三重积分,三重积分的计算（直角坐标、柱坐标、球坐标）；,
